vgs,vds,ids,w
2,1.5,-0.00000278156,0.0000043
2.5,1.5,-0.00000463594,0.0000043
3,1.5,-0.00000649031,0.0000043
1,2,-0.000000322502,0.0000043
1.5,2,-0.00000129,0.0000043
2,2,-0.0000029025,0.0000043
2.5,2,-0.00000516,0.0000043
3,2,-0.00000774,0.0000043
1,2.5,-0.00000033594,0.0000043
1.5,2.5,-0.00000134375,0.0000043
2,2.5,-0.00000302344,0.0000043
2.5,2.5,-0.000005375,0.0000043
3,2.5,-0.00000839844,0.0000043
1,3,-0.000000349378,0.0000043
1.5,3,-0.0000013975,0.0000043
2,3,-0.00000314438,0.0000043
2.5,3,-0.00000559,0.0000043
3,3,-0.00000873438,0.0000043
1,1,-0.000000354064,0.00000515
1.5,1,-0.00000141625,0.00000515
2,1,-0.0000028325,0.00000515
2.5,1,-0.00000424875,0.00000515
3,1,-0.000005665,0.00000515
1,1.5,-0.000000370158,0.00000515
1.5,1.5,-0.00000148063,0.00000515
2,1.5,-0.00000333141,0.00000515
2.5,1.5,-0.00000555235,0.00000515
3,1.5,-0.00000777328,0.00000515
1,2,-0.000000386252,0.00000515
1.5,2,-0.000001545,0.00000515
2,2,-0.00000347625,0.00000515
2.5,2,-0.00000618,0.00000515
3,2,-0.00000927,0.00000515
1,2.5,-0.000000402346,0.00000515
1.5,2.5,-0.00000160938,0.00000515
2,2.5,-0.0000036211,0.00000515
2.5,2.5,-0.0000064375,0.00000515
3,2.5,-0.0000100586,0.00000515
1,3,-0.000000418441,0.00000515
1.5,3,-0.00000167375,0.00000515
2,3,-0.00000376594,0.00000515
2.5,3,-0.000006695,0.00000515
3,3,-0.0000104609,0.00000515
1,1,-0.000000370564,0.00000539
1.5,1,-0.00000148225,0.00000539
2,1,-0.0000029645,0.00000539
2.5,1,-0.00000444675,0.00000539
3,1,-0.000005929,0.00000539
1,1.5,-0.000000387408,0.00000539
1.5,1.5,-0.00000154963,0.00000539
2,1.5,-0.00000348666,0.00000539
2.5,1.5,-0.0000058111,0.00000539
3,1.5,-0.00000813553,0.00000539
1,2,-0.000000404252,0.00000539
1.5,2,-0.000001617,0.00000539
2,2,-0.00000363825,0.00000539
2.5,2,-0.000006468,0.00000539
3,2,-0.000009702,0.00000539
1,2.5,-0.000000421096,0.00000539
1.5,2.5,-0.00000168438,0.00000539
2,2.5,-0.00000378985,0.00000539
2.5,2.5,-0.0000067375,0.00000539
3,2.5,-0.0000105273,0.00000539
1,3,-0.000000437941,0.00000539
1.5,3,-0.00000175175,0.00000539
2,3,-0.00000394144,0.00000539
2.5,3,-0.000007007,0.00000539
3,3,-0.0000109484,0.00000539
1,1,-0.000000178064,0.00000259
1.5,1,-0.000000712251,0.00000259
2,1,-0.0000014245,0.00000259
2.5,1,-0.00000213675,0.00000259
3,1,-0.000002849,0.00000259
1,1.5,-0.000000186158,0.00000259
1.5,1.5,-0.000000744627,0.00000259
2,1.5,-0.00000167541,0.00000259
2.5,1.5,-0.00000279235,0.00000259
3,1.5,-0.00000390928,0.00000259
1,2,-0.000000194252,0.00000259
1.5,2,-0.000000777002,0.00000259
2,2,-0.00000174825,0.00000259
2.5,2,-0.000003108,0.00000259
3,2,-0.000004662,0.00000259
1,2.5,-0.000000202346,0.00000259
1.5,2.5,-0.000000809378,0.00000259
2,2.5,-0.0000018211,0.00000259
2.5,2.5,-0.0000032375,0.00000259
3,2.5,-0.0000050586,0.00000259
1,3,-0.000000210441,0.00000259
1.5,3,-0.000000841753,0.00000259
2,3,-0.00000189394,0.00000259
2.5,3,-0.000003367,0.00000259
3,3,-0.00000526094,0.00000259
1,1,-0.256438,3.73
1.5,1,-1.02575,3.73
2,1,-2.0515,3.73
2.5,1,-3.07725,3.73
3,1,-4.103,3.73
1,1.5,-0.268094,3.73
1.5,1.5,-1.07238,3.73
2,1.5,-2.41284,3.73
2.5,1.5,-4.02141,3.73
3,1.5,-5.62997,3.73
1,2,-0.27975,3.73
1.5,2,-1.119,3.73
2,2,-2.51775,3.73
2.5,2,-4.476,3.73
3,2,-6.714,3.73
1,2.5,-0.291406,3.73
1.5,2.5,-1.16563,3.73
2,2.5,-2.62266,3.73
2.5,2.5,-4.6625,3.73
3,2.5,-7.28516,3.73
1,3,-0.303063,3.73
1.5,3,-1.21225,3.73
2,3,-2.72756,3.73
2.5,3,-4.849,3.73
3,3,-7.57656,3.73
1,1,-0.000000376064,0.00000547
1.5,1,-0.00000150425,0.00000547
2,1,-0.0000030085,0.00000547
2.5,1,-0.00000451275,0.00000547
3,1,-0.000006017,0.00000547
1,1.5,-0.000000393158,0.00000547
1.5,1.5,-0.00000157263,0.00000547
2,1.5,-0.00000353841,0.00000547
2.5,1.5,-0.00000589735,0.00000547
3,1.5,-0.00000825628,0.00000547
1,2,-0.000000410252,0.00000547
1.5,2,-0.000001641,0.00000547
2,2,-0.00000369225,0.00000547
2.5,2,-0.000006564,0.00000547
3,2,-0.000009846,0.00000547
1,2.5,-0.000000427346,0.00000547
1.5,2.5,-0.00000170938,0.00000547
2,2.5,-0.0000038461,0.00000547
2.5,2.5,-0.0000068375,0.00000547
3,2.5,-0.0000106836,0.00000547
1,3,-0.000000444441,0.00000547
1.5,3,-0.00000177775,0.00000547
2,3,-0.00000399994,0.00000547
2.5,3,-0.000007111,0.00000547
3,3,-0.0000111109,0.00000547
1,1,-0.000000388439,0.00000565
1.5,1,-0.00000155375,0.00000565
2,1,-0.0000031075,0.00000565
2.5,1,-0.00000466125,0.00000565
3,1,-0.000006215,0.00000565
1,1.5,-0.000000406095,0.00000565
1.5,1.5,-0.00000162438,0.00000565
2,1.5,-0.00000365485,0.00000565
2.5,1.5,-0.00000609141,0.00000565
3,1.5,-0.00000852797,0.00000565
1,2,-0.000000423752,0.00000565
1.5,2,-0.000001695,0.00000565
2,2,-0.00000381375,0.00000565
2.5,2,-0.00000678,0.00000565
3,2,-0.00001017,0.00000565
1,2.5,-0.000000441409,0.00000565
1.5,2.5,-0.00000176563,0.00000565
2,2.5,-0.00000397266,0.00000565
2.5,2.5,-0.0000070625,0.00000565
3,2.5,-0.0000110352,0.00000565
1,3,-0.000000459066,0.00000565
1.5,3,-0.00000183625,0.00000565
2,3,-0.00000413157,0.00000565
2.5,3,-0.000007345,0.00000565
3,3,-0.0000114766,0.00000565
1,1,-0.000000406314,0.00000591
1.5,1,-0.00000162525,0.00000591
2,1,-0.0000032505,0.00000591
2.5,1,-0.00000487575,0.00000591
3,1,-0.000006501,0.00000591
1,1.5,-0.000000424783,0.00000591
1.5,1.5,-0.00000169913,0.00000591
2,1.5,-0.00000382303,0.00000591
2.5,1.5,-0.00000637172,0.00000591
3,1.5,-0.00000892041,0.00000591
1,2,-0.000000443252,0.00000591
1.5,2,-0.000001773,0.00000591
2,2,-0.00000398925,0.00000591
2.5,2,-0.000007092,0.00000591
3,2,-0.000010638,0.00000591
1,2.5,-0.000000461721,0.00000591
1.5,2.5,-0.00000184688,0.00000591
2,2.5,-0.00000415547,0.00000591
2.5,2.5,-0.0000073875,0.00000591
3,2.5,-0.000011543,0.00000591
1,3,-0.000000480191,0.00000591
1.5,3,-0.00000192075,0.00000591
2,3,-0.00000432169,0.00000591
2.5,3,-0.000007683,0.00000591
3,3,-0.0000120047,0.00000591
1,1,-0.000000431064,0.00000627
1.5,1,-0.00000172425,0.00000627
2,1,-0.0000034485,0.00000627
2.5,1,-0.00000517275,0.00000627
3,1,-0.000006897,0.00000627
1,1.5,-0.000000450658,0.00000627
1.5,1.5,-0.00000180263,0.00000627
2,1.5,-0.00000405591,0.00000627
2.5,1.5,-0.00000675985,0.00000627
3,1.5,-0.00000946378,0.00000627
1,2,-0.000000470252,0.00000627
1.5,2,-0.000001881,0.00000627
2,2,-0.00000423225,0.00000627
2.5,2,-0.000007524,0.00000627
3,2,-0.000011286,0.00000627
1,2.5,-0.000000489846,0.00000627
1.5,2.5,-0.00000195938,0.00000627
2,2.5,-0.0000044086,0.00000627
2.5,2.5,-0.0000078375,0.00000627
3,2.5,-0.0000122461,0.00000627
1,3,-0.000000509441,0.00000627
1.5,3,-0.00000203775,0.00000627
2,3,-0.00000458494,0.00000627
2.5,3,-0.000008151,0.00000627
3,3,-0.0000127359,0.00000627
1,1,-0.000000444126,0.00000646
1.5,1,-0.0000017765,0.00000646
2,1,-0.000003553,0.00000646
2.5,1,-0.0000053295,0.00000646
3,1,-0.000007106,0.00000646
1,1.5,-0.000000464314,0.00000646
1.5,1.5,-0.00000185725,0.00000646
2,1.5,-0.00000417881,0.00000646
2.5,1.5,-0.00000696469,0.00000646
3,1.5,-0.00000975056,0.00000646
1,2,-0.000000484502,0.00000646
1.5,2,-0.000001938,0.00000646
2,2,-0.0000043605,0.00000646
2.5,2,-0.000007752,0.00000646
3,2,-0.000011628,0.00000646
1,2.5,-0.00000050469,0.00000646
1.5,2.5,-0.00000201875,0.00000646
2,2.5,-0.00000454219,0.00000646
2.5,2.5,-0.000008075,0.00000646
3,2.5,-0.0000126172,0.00000646
1,3,-0.000000524878,0.00000646
1.5,3,-0.0000020995,0.00000646
2,3,-0.00000472388,0.00000646
2.5,3,-0.000008398,0.00000646
3,3,-0.0000131219,0.00000646
1,1,-0.000000456501,0.00000664
1.5,1,-0.000001826,0.00000664
2,1,-0.000003652,0.00000664
2.5,1,-0.000005478,0.00000664
3,1,-0.000007304,0.00000664
1,1.5,-0.000000477252,0.00000664
1.5,1.5,-0.000001909,0.00000664
2,1.5,-0.00000429525,0.00000664
2.5,1.5,-0.00000715875,0.00000664
3,1.5,-0.0000100223,0.00000664
1,2,-0.000000498002,0.00000664
1.5,2,-0.000001992,0.00000664
2,2,-0.000004482,0.00000664
2.5,2,-0.000007968,0.00000664
3,2,-0.000011952,0.00000664
1,2.5,-0.000000518753,0.00000664
1.5,2.5,-0.000002075,0.00000664
2,2.5,-0.00000466875,0.00000664
2.5,2.5,-0.0000083,0.00000664
3,2.5,-0.0000129688,0.00000664
1,3,-0.000000539503,0.00000664
1.5,3,-0.000002158,0.00000664
2,3,-0.0000048555,0.00000664
2.5,3,-0.000008632,0.00000664
3,3,-0.0000134875,0.00000664
1,1,-0.000000476439,0.00000693
1.5,1,-0.00000190575,0.00000693
2,1,-0.0000038115,0.00000693
2.5,1,-0.00000571725,0.00000693
3,1,-0.000007623,0.00000693
1,1.5,-0.000000498095,0.00000693
1.5,1.5,-0.00000199238,0.00000693
2,1.5,-0.00000448285,0.00000693
2.5,1.5,-0.00000747141,0.00000693
3,1.5,-0.00001046,0.00000693
1,2,-0.000000519752,0.00000693
1.5,2,-0.000002079,0.00000693
2,2,-0.00000467775,0.00000693
2.5,2,-0.000008316,0.00000693
3,2,-0.000012474,0.00000693
1,2.5,-0.000000541409,0.00000693
1.5,2.5,-0.00000216563,0.00000693
2,2.5,-0.00000487266,0.00000693
2.5,2.5,-0.0000086625,0.00000693
3,2.5,-0.0000135352,0.00000693
1,3,-0.000000563066,0.00000693
1.5,3,-0.00000225225,0.00000693
2,3,-0.00000506757,0.00000693
2.5,3,-0.000009009,0.00000693
3,3,-0.0000140766,0.00000693
1,1,-0.000000481251,0.000007
1.5,1,-0.000001925,0.000007
2,1,-0.00000385,0.000007
2.5,1,-0.000005775,0.000007
3,1,-0.0000077,0.000007
1,1.5,-0.000000503127,0.000007
1.5,1.5,-0.0000020125,0.000007
2,1.5,-0.00000452813,0.000007
2.5,1.5,-0.00000754688,0.000007
3,1.5,-0.0000105656,0.000007
1,2,-0.000000525002,0.000007
1.5,2,-0.0000021,0.000007
2,2,-0.000004725,0.000007
2.5,2,-0.0000084,0.000007
3,2,-0.0000126,0.000007
1,2.5,-0.000000546878,0.000007
1.5,2.5,-0.0000021875,0.000007
2,2.5,-0.00000492188,0.000007
2.5,2.5,-0.00000875,0.000007
3,2.5,-0.0000136719,0.000007
1,3,-0.000000568753,0.000007
1.5,3,-0.000002275,0.000007
2,3,-0.00000511875,0.000007
2.5,3,-0.0000091,0.000007
3,3,-0.0000142188,0.000007
1,1,-0.000000515626,0.0000075
1.5,1,-0.0000020625,0.0000075
2,1,-0.000004125,0.0000075
2.5,1,-0.0000061875,0.0000075
3,1,-0.00000825,0.0000075
1,1.5,-0.000000539064,0.0000075
1.5,1.5,-0.00000215625,0.0000075
